1,آیا تو جمع همیشه تصمیم نهایی می‌گیری؟,dominance
2,آیا دیگران رو مجبور به اطاعت می‌کنی؟,dominance
3,آیا باخت رو اصلاً قبول نمی‌کنی؟,dominance
4,آیا برای موفقیت قوانین رو دور می‌زنی؟,dominance
5,آیا فکر می‌کنی قدرت فقط مال توئه؟,dominance
6,آیا رقیبات رو کامل حذف می‌کنی؟,dominance
7,آیا مردم از عصبانیت تو می‌ترسن؟,dominance
8,آیا کارها رو خودت رهبری می‌کنی؟,dominance
9,آیا کنترل رو با کسی تقسیم نمی‌کنی؟,dominance
10,آیا همیشه می‌خوای نفر اول باشی؟,dominance
11,آیا قبل از کار برنامه داری؟,strategy
12,آیا با ترفند حریف رو می‌بری؟,strategy
13,آیا همیشه از بقیه جلوتر فکر می‌کنی؟,strategy
14,آیا اطلاعات رو برای استفاده جمع می‌کنی؟,strategy
15,آیا تو بحث طرف مقابل رو ساکت می‌کنی؟,strategy
16,آیا شکست رو به برد تبدیل می‌کنی؟,strategy
17,آیا از دوستان خبر می‌گیری؟,strategy
18,آیا زمان شروع رو خودت انتخاب می‌کنی؟,strategy
19,آیا سریع مشکلات رو حل می‌کنی؟,strategy
20,آیا مسائل رو تو ذهن برنامه‌ریزی می‌کنی؟,strategy
21,آیا تنها که هستی آهنگ می‌سازی؟,creativity
22,آیا با دستات چیزای جدید می‌سازی؟,creativity
23,آیا ایده‌هات رو نقاشی می‌کنی؟,creativity
24,آیا داستان‌های جالب می‌گی؟,creativity
25,آیا کارات پر از انرژی مثبته؟,creativity
26,آیا حرکت جدید می‌سازی؟,creativity
27,آیا آینده رو حدس می‌زنی؟,creativity
28,آیا چیزای هنری می‌سازی؟,creativity
29,آیا چشات پر از ایده‌های جدیده؟,creativity
30,آیا سریع به بقیه ایده می‌دی؟,creativity
31,آیا تنهایی کار یا سفر می‌کنی؟,independence
32,آیا بدون کمک به هدفت می‌رسی؟,independence
33,آیا روابط رو برای آزادی ترک می‌کنی؟,independence
34,آیا حیوانات وحشی رو دوست داری؟,independence
35,آیا شب‌ها تنها فکر می‌کنی؟,independence
36,آیا قوانین خودت رو می‌ذاری؟,independence
37,آیا مهارت‌ها رو خودت یاد می‌گیری؟,independence
38,آیا طبیعت وحشی رو دوست داری؟,independence
39,آیا آزادی رو با همه چیز عوض می‌کنی؟,independence
40,آیا کسی نمی‌تونه جلوت رو بگیره؟,independence
41,آیا عصبانیتت خیلی شدید می‌شه؟,emotion
42,آیا احساساتت ناگهانی و قویه؟,emotion
43,آیا عشقت رو با شدت نشون می‌دی؟,emotion
44,آیا دلت از هیجان تند می‌زنه؟,emotion
45,آیا راحت گریه می‌کنی؟,emotion
46,آیا کینه رو نگه می‌داری؟,emotion
47,آیا وقتی عصبانی‌ای فریاد می‌زنی؟,emotion
48,آیا غرق احساس شدن رو دوست داری؟,emotion
49,آیا احساسات عمیق رو می‌فهمی؟,emotion
50,آیا انرژی احساسی داری؟,emotion
51,آیا تو معامله با کلک برنده می‌شی؟,cunning
52,آیا رمزها رو آسان باز می‌کنی؟,cunning
53,آیا پیام‌های دروغین می‌فرستی؟,cunning
54,آیا تو شرط‌بندی همیشه می‌بری؟,cunning
55,آیا راه رو برای بقیه گم می‌کنی؟,cunning
56,آیا چیزا رو زیرکانه می‌گیری؟,cunning
57,آیا رازها رو سریع می‌فهمی؟,cunning
58,آیا قوانین رو آسان دور می‌زنی؟,cunning
59,آیا حقیقت رو تغییر می‌دی؟,cunning
60,آیا ترفندهایت رو مخفی می‌کنی؟,cunning
61,آیا مرگ رو بدون ترس قبول می‌کنی؟,depth
62,آیا رازهای بد رو نگه می‌داری؟,depth
63,آیا آدما رو تو ذهن قضاوت می‌کنی؟,depth
64,آیا سکوت رو بیشتر دوست داری؟,depth
65,آیا گذشته رو زیاد فکر می‌کنی؟,depth
66,آیا چیزای مهم رو مخفی می‌کنی؟,depth
67,آیا تنهایی عمیق رو دوست داری؟,depth
68,آیا برای انتقام صبر می‌کنی؟,depth
69,آیا اشتباهات رو فراموش نمی‌کنی؟,depth
70,آیا افکار سنگین داری؟,depth
